,Rank,Team,Conf,WL,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM
,113,Jacksonville St.,OVC,24-9,5.46,104.9,99.4,67.5,0.003,-4.3,102,106.3,0.14
,114,Utah,P12,17-14,5.39,114.2,108.8,66.2,0.031,4.64,105.7,101.1,-0.41
,115,Boston College,ACC,14-17,5.31,107.5,102.2,67.2,0.019,7.65,107.4,99.7,-6.53
,116,Western Kentucky,CUSA,20-14,5.27,104.9,99.6,67.6,0,1.6,103.9,102.3,4.94
,117,SMU,Amer,15-17,5.17,112,106.8,64.9,-0.07,2.98,104.7,101.7,-5.49
,118,St. Bonaventure,A10,18-16,5.17,102,96.8,63.8,-0.044,0.16,103.3,103.2,-0.7
,119,Stanford,P12,15-16,5.12,103.3,98.2,69.8,-0.027,4.32,106.5,102.2,1.31
,120,Charleston,CAA,24-9,5.06,108.3,103.3,65.3,0.019,-3.43,104.9,108.3,0.15
,121,San Diego St.,MWC,21-13,5.04,103.7,98.7,66.5,0.056,1.66,105.2,103.6,-0.9
,122,South Florida,Amer,19-13,5.04,102.3,97.2,67.1,-0.048,-0.2,104,104.2,-10.2
,123,Central Michigan,MAC,23-11,4.89,110.3,105.4,70.8,0.024,-0.32,103.3,103.6,-9.89
,124,Harvard,Ivy,18-11,4.5,104.8,100.3,67.3,0.056,1.97,104.7,102.7,3.9
,125,Radford,BSth,22-11,4.45,108.7,104.2,64.3,-0.007,-1.01,104.2,105.2,7.56
,126,Texas St.,SB,24-9,4.37,102,97.7,65,0.034,-2.48,103.4,105.9,-5.46
,127,Wright St.,Horz,21-13,4.33,105.9,101.6,65,-0.031,-2.14,104.7,106.8,3.28
,128,Drake,MVC,24-9,4.32,107,102.7,69,0.094,-1.2,102.4,103.6,0.83
,129,Colgate 15,Pat,24-10,4.29,110,105.8,66.3,0.021,-4.21,101.8,106,1.2
,130,Penn,Ivy,19-12,4.28,104,99.7,66.7,0.02,0.39,103.4,103,0.85
,131,Tulsa,Amer,18-14,4.23,104.6,100.4,68.7,0.04,3.05,105.4,102.4,-2.7
,132,Georgia,SEC,11-21,4.18,105.8,101.6,68.3,-0.077,9.28,109,99.7,-1.59
,133,Loyola Chicago,MVC,20-13,4.15,104.2,100,62.3,-0.01,-1.87,102,103.8,-1.42
,134,Ball St.,MAC,16-17,4.08,102.3,98.2,70.1,-0.088,2.11,105,102.9,-0.34
,135,Austin Peay,OVC,22-11,3.9,110.6,106.7,68.9,-0.009,-3.69,103,106.7,1.32
,136,Northern Illinois,MAC,17-17,3.87,108.8,104.9,65.8,-0.071,1.88,104.6,102.7,-2.22
,137,Montana 15,BSky,26-8,3.55,107.4,103.8,66.5,0.057,-6.59,102,108.6,4.46
,138,Loyola Marymount,WCC,20-11,3.42,103.6,100.2,62.7,0.066,0.15,104.4,104.2,-5.07
,139,Boise St.,MWC,13-20,3.22,107.1,103.8,65.4,-0.192,0.49,103.9,103.5,0.48
,140,Louisiana Monroe,SB,18-15,3.11,112.3,109.2,66.3,-0.054,-1.89,103.1,105,-3.88
,141,Louisiana Tech,CUSA,20-13,2.95,104.7,101.7,65.3,-0.046,-1.84,102,103.9,-3.9
,142,Kent St.,MAC,22-10,2.83,109.6,106.7,67.3,0.14,1.36,104.3,102.9,-4.29
,143,Rhode Island,A10,18-15,2.68,103.8,101.1,67.4,0.018,1,103,102,-1.79
,144,Samford,SC,17-16,2.21,106.6,104.3,69,-0.076,-1.66,104.5,106.2,-6.11
,145,Abilene Christian 15,Slnd,27-6,2.09,103.6,101.5,66,0.087,-9.04,99.6,108.6,-4.51
,146,Brown,Ivy,19-11,1.9,98.7,96.8,70.8,0.011,-2.52,102.2,104.7,-5.31
,147,Bucknell,Pat,21-12,1.88,105.5,103.6,70.5,0.052,-2.81,103.2,106,3.15
,148,UAB,CUSA,20-14,1.84,106.4,104.5,64.9,-0.011,-1.86,101.6,103.5,-4.99
,149,Miami OH,MAC,15-17,1.78,104.7,102.9,66.2,-0.025,3.58,105.5,102,-0.19
,150,Southern Illinois,MVC,17-15,1.7,104.2,102.5,65.6,-0.01,-0.92,102.9,103.8,0.6
,151,UTSA,CUSA,17-15,1.66,105.7,104,72,-0.017,0.86,103,102.1,4.26
,152,UT Arlington,SB,17-16,1.54,101.1,99.6,66.1,0.038,1.54,104.9,103.4,5.75
,153,Pepperdine,WCC,16-18,1.41,106.6,105.2,70.2,-0.057,0.09,104.1,104,-6.74
,154,Vanderbilt,SEC,9-23,0.79,102,101.2,67.1,-0.109,9.66,109.1,99.4,-2.87
,155,Eastern Michigan,MAC,15-17,0.75,103.3,102.6,62.7,-0.006,5.5,107.1,101.6,8.68
,156,George Mason,A10,18-15,0.69,104.4,103.7,67.6,0.023,-1.19,102.1,103.3,-3.24
,157,North Texas,CUSA,21-12,0.51,99.5,99,65.1,-0.007,-3.67,101,104.6,-9.27
,158,Charleston Southern,BSth,17-15,0.05,101.3,101.2,69.2,-0.092,-3.61,103.1,106.7,4.7
,159,Florida Atlantic,CUSA,17-15,-0.02,99.3,99.3,67.4,-0.039,-1.2,102.9,104.1,-1.05
,160,UNLV,MWC,17-14,-0.14,105.8,106,67.4,0.014,-1.88,103,104.9,-3.23
,161,Coastal Carolina,SB,15-16,-0.15,104.8,104.9,69.3,-0.073,-0.97,104.8,105.7,-0.72
,162,Marshall,CUSA,19-14,-0.16,107.9,108.1,73.9,0.108,-0.03,102.8,102.8,1.93
,163,Wake Forest,ACC,11-20,-0.22,104.6,104.8,67.4,0.04,8.93,108.4,99.5,-6.04
,164,Nebraska Omaha,Sum,21-11,-0.36,109.9,110.3,67.7,0.109,-3.47,103.6,107.1,2.61
,165,Bradley 15,MVC,20-14,-0.36,100.9,101.2,65.1,0.04,-2.12,102.1,104.2,-3.81
,166,UT Rio Grande Valley,WAC,19-16,-0.37,99.3,99.6,70.1,0.021,-0.97,103.1,104.1,-0.82
,167,Gardner Webb 16,BSth,23-11,-0.74,107.5,108.2,67.1,0.07,-4.53,102.3,106.9,-3.63
,168,Stony Brook,AE,24-8,-0.75,99.1,99.9,68.9,0.075,-7.14,99.8,106.9,-3.07
,169,Lehigh,Pat,20-11,-0.79,108.6,109.4,71.4,0.083,-4.04,102.1,106.2,-1.14
,170,UC Santa Barbara,BW,22-10,-0.8,105,105.8,64.5,0.035,-6.97,101.3,108.3,-7.5
,171,Duquesne,A10,19-13,-0.81,104.4,105.2,69.7,0.055,-2.46,101.7,104.1,-7.23
,172,Sam Houston St.,Slnd,21-11,-0.88,105.9,106.8,66,0.026,-5.78,100.7,106.4,3.88
,173,Missouri St.,MVC,16-16,-0.92,102.9,103.8,65.3,-0.021,-1.52,102.6,104.1,-1.68
,174,North Florida,ASun,16-17,-0.95,103.8,104.7,71.8,0.015,1.67,103.6,101.9,10.72
,175,Princeton,Ivy,16-12,-1,98.7,99.7,67.5,0.101,0.5,104.2,103.7,-0.86
,176,Northern Iowa,MVC,16-18,-1.16,101.1,102.3,64.2,0.004,0.57,103,102.5,3.79
,177,Louisiana,SB,19-13,-1.18,106.5,107.7,71.9,0.085,-1.09,104.3,105.4,-1.16
,178,Winthrop,BSth,18-12,-1.2,106.4,107.6,72.6,0.016,-2.79,103,105.8,2.2
,179,Colorado St.,MWC,12-20,-1.23,107.4,108.6,66.9,-0.111,0.21,104.6,104.4,-1.77
,180,NJIT,ASun,21-12,-1.29,101.1,102.4,66.4,0.09,-3.56,101.6,105.1,-3.77
,181,Seattle,WAC,18-14,-1.42,100.7,102.2,67.2,-0.028,-4.6,102.1,106.7,-8.93
,182,Ohio,MAC,14-17,-1.53,98.6,100.1,69.1,0.062,3.69,106.7,103,0.51
,183,New Mexico,MWC,14-18,-1.6,103.9,105.5,72.7,-0.028,0.74,104.2,103.5,-0.06
,184,Saint Joseph's,A10,14-19,-1.73,105.2,106.9,68.4,-0.012,0.9,103.1,102.2,0.71
,185,Santa Clara,WCC,16-15,-1.85,101.8,103.6,66.1,0.059,-0.45,104.2,104.7,-9.34
,186,Campbell,BSth,20-12,-1.89,107.9,109.8,65.3,0.02,-4.69,102.9,107.6,-1.81
,187,Presbyterian,BSth,18-15,-1.95,109.1,111,67.6,-0.065,-4.72,102.3,107.1,-0.87
,188,Oakland,Horz,16-17,-2.11,107.3,109.4,68.5,-0.002,-2.14,104.6,106.7,2.15
,189,Hartford,AE,18-15,-2.24,108.3,110.5,66.5,-0.008,-5.09,101.1,106.2,1.07
,190,Purdue Fort Wayne,Sum,18-15,-2.28,106.5,108.8,71.5,-0.002,-3.5,103.9,107.4,0.25
,191,Northern Colorado,BSky,21-11,-2.44,102.2,104.6,66.3,0.05,-7.83,101.2,109.1,-1.33
,192,Cal Baptist,WAC,16-14,-2.52,106.7,109.2,67.8,-0.054,-2.96,102.5,105.4,-5.55
,193,Hampton,BSth,15-16,-2.56,107.5,110,70.8,-0.109,-4.31,102.6,106.9,-1.74
,194,IUPUI,Horz,16-16,-2.56,103.8,106.4,68.4,-0.057,-3.59,103.3,106.8,-3.6
,195,Mercer,SC,11-20,-2.6,103.5,106.1,66.7,-0.113,1.85,106.1,104.2,1.54
,196,Hawaii,BW,18-13,-3.03,103.5,106.5,66.2,-0.005,-5.89,100.7,106.6,-5.04
,197,Iona 16,MAAC,17-15,-3.08,106.5,109.6,70.5,-0.025,-6.63,100,106.6,0.92
,198,American,Pat,15-15,-3.13,101.8,104.9,66.4,-0.119,-7.36,100.4,107.7,-10.5
,199,North Dakota St. 16,Sum,18-15,-3.2,106.6,109.8,64.8,0.052,-3.07,104.5,107.6,3.73
,200,Illinois Chicago,Horz,16-16,-3.21,100.4,103.6,69.9,-0.002,-2.37,104.4,106.8,0.7
,201,Richmond,A10,13-20,-3.23,106.8,110,65.8,-0.088,-2.66,101.2,103.8,-7.87
,202,FIU,CUSA,19-13,-3.25,101.9,105.1,77.4,0.104,-1.24,101.7,103,-2.22
,203,Cal St. Fullerton,BW,16-17,-3.44,98.9,102.3,69.7,0.01,-1.02,103.5,104.5,7.27
,204,Illinois St.,MVC,17-16,-3.5,101,104.5,66.6,0.084,-0.35,102.9,103.3,1.23
,205,Appalachian St.,SB,11-21,-3.61,105.9,109.5,71.4,-0.083,1.23,105.1,103.9,5.2
,206,Green Bay,Horz,17-16,-3.62,102.8,106.5,73.5,0.084,-0.4,105.3,105.7,7.55
,207,Indiana St.,MVC,15-16,-4.14,101,105.1,68.8,0.026,0.07,102.5,102.4,2.92
,208,Fairleigh Dickinson 16,NEC,20-13,-4.25,106.2,110.4,66.8,0.01,-8.75,98.7,107.4,-1.51
,209,Prairie View A&M 16,SWAC,22-12,-4.31,101.5,105.8,71,0.074,-8.25,98.1,106.3,6.54
,210,Washington St.,P12,11-21,-4.31,105.9,110.2,70.5,-0.059,1.43,104.9,103.5,-10.25
,211,Columbia,Ivy,10-18,-4.48,101.8,106.3,67.4,-0.06,-0.92,103,103.9,-3.36
,212,South Alabama,SB,17-17,-4.49,103,107.5,66.2,0.012,-3.36,102.6,106,-7.9
,213,Pacific,WCC,14-18,-4.49,99.8,104.2,64.9,0.045,1.75,105.9,104.1,-3.37
,214,Texas Southern,SWAC,21-13,-4.5,104,108.5,74.5,0.056,-8.23,98.2,106.4,12.36
,215,Rider,MAAC,16-15,-4.51,101.3,105.8,73.8,-0.032,-6.87,100.3,107.2,-0.07
,216,Lamar,Slnd,20-13,-4.57,103.1,107.6,68.1,0.009,-7.31,100.5,107.8,1.97
,217,Cornell,Ivy,15-15,-4.63,99,103.7,67.5,0.084,-0.01,103.9,103.9,-1.17
,218,Dartmouth,Ivy,11-19,-4.64,103.4,108,65.7,-0.109,-1.69,102.4,104.1,-5.1
,219,William & Mary,CAA,14-17,-4.65,103.3,108,68.5,0.029,-1.88,105.7,107.6,3.11
,220,Florida Gulf Coast,ASun,14-18,-4.67,101.3,106,67.8,-0.003,-0.8,103.2,104,4.1
,221,Valparaiso,MVC,15-18,-4.91,97.9,102.8,65.1,0.003,-1.74,101.9,103.7,-3.28
,222,Little Rock,SB,10-21,-4.94,99.7,104.7,70.3,-0.149,-1.62,104.2,105.8,-2.32
